Ativo;Dia;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado Financeiro;Resultado Pontos;Total Acumulado;Acumlado Dia
WING20;02/01/2020;02/01/2020 09:35;02/01/2020 09:59;23min47s;1;C;117.095,00;116.990,00;-21;-105;-21;-105
WING20;02/01/2020;02/01/2020 10:07;02/01/2020 10:12;4min57s;1;C;117.070,00;117.075,00;1;5;-20;-100
WING20;02/01/2020;02/01/2020 10:17;02/01/2020 10:22;5min27s;1;C;116.990,00;117.050,00;12;60;-8;-40
WING20;02/01/2020;02/01/2020 10:27;02/01/2020 10:30;2min53s;1;C;116.995,00;117.085,00;18;90;10;50
WING20;02/01/2020;02/01/2020 11:10;02/01/2020 11:11;25s;1;C;117.530,00;117.580,00;10;50;20;100
WING20;02/01/2020;02/01/2020 11:20;02/01/2020 11:22;2min11s;1;C;117.555,00;117.600,00;9;45;29;145
WING20;02/01/2020;02/01/2020 11:25;02/01/2020 11:28;3min9s;1;C;117.560,00;117.610,00;10;50;39;195
WING20;02/01/2020;02/01/2020 12:12;02/01/2020 12:32;20min23s;1;C;118.260,00;118.175,00;-17;-85;22;110
WING20;02/01/2020;02/01/2020 12:41;02/01/2020 13:09;28min10s;1;V;118.285,00;118.170,00;-23;-115;-1;-5
WING20;02/01/2020;02/01/2020 13:17;02/01/2020 13:23;5min24s;1;C;118.315,00;118.340,00;5;25;4;20
WING20;02/01/2020;02/01/2020 13:28;02/01/2020 13:44;16min19s;1;C;118.310,00;118.215,00;-19;-95;-15;-75
WING20;02/01/2020;02/01/2020 13:48;02/01/2020 13:50;2min10s;1;V;118.190,00;118.230,00;8;40;-7;-35
WING20;02/01/2020;02/01/2020 13:53;02/01/2020 13:54;1min17s;1;V;118.170,00;118.215,00;9;45;2;10
WING20;02/01/2020;02/01/2020 13:58;02/01/2020 14:06;7min28s;1;V;118.205,00;118.205,00;0;0;2;10
WING20;02/01/2020;02/01/2020 14:07;02/01/2020 14:13;6min47s;1;V;118.230,00;118.255,00;5;25;7;35
WING20;02/01/2020;02/01/2020 14:26;02/01/2020 14:30;3min32s;1;C;118.280,00;118.305,00;5;25;12;60
WING20;02/01/2020;02/01/2020 14:31;02/01/2020 14:35;3min57s;1;C;118.260,00;118.290,00;6;30;18;90
WING20;02/01/2020;02/01/2020 14:48;02/01/2020 15:00;11min44s;1;C;118.400,00;118.445,00;9;45;27;135
WING20;02/01/2020;02/01/2020 15:07;02/01/2020 15:08;1min34s;1;C;118.415,00;118.450,00;7;35;34;170
WING20;02/01/2020;02/01/2020 15:17;02/01/2020 15:24;7min54s;1;C;118.440,00;118.465,00;5;25;39;195
WING20;02/01/2020;02/01/2020 15:41;02/01/2020 16:14;33min33s;1;C;118.610,00;118.470,00;-28;-140;11;55
WING20;03/01/2020;03/01/2020 09:30;03/01/2020 09:32;1min52s;1;V;117.420,00;117.520,00;20;100;31;100
WING20;03/01/2020;03/01/2020 09:42;03/01/2020 09:48;5min58s;1;V;117.505,00;117.485,00;-4;-20;27;80
WING20;03/01/2020;03/01/2020 10:25;03/01/2020 10:26;1min5s;1;C;117.975,00;118.115,00;28;140;55;220
WING20;03/01/2020;03/01/2020 10:29;03/01/2020 10:36;6min43s;1;C;117.960,00;118.025,00;13;65;68;285
WING20;03/01/2020;03/01/2020 11:14;03/01/2020 11:15;15s;1;C;118.345,00;118.420,00;15;75;83;360
WING20;03/01/2020;03/01/2020 11:26;03/01/2020 11:30;3min43s;1;C;118.515,00;118.545,00;6;30;89;390
WING20;03/01/2020;03/01/2020 11:42;03/01/2020 11:44;1min36s;1;C;118.645,00;118.790,00;29;145;118;535
WING20;03/01/2020;03/01/2020 11:51;03/01/2020 12:11;19min59s;1;C;118.690,00;118.590,00;-20;-100;98;435
WING20;03/01/2020;03/01/2020 12:18;03/01/2020 12:33;15min5s;1;C;118.570,00;118.420,00;-30;-150;68;285
WING20;03/01/2020;03/01/2020 12:47;03/01/2020 12:55;8min17s;1;C;118.470,00;118.445,00;-5;-25;63;260
WING20;03/01/2020;03/01/2020 13:01;03/01/2020 13:13;12min11s;1;C;118.420,00;118.320,00;-20;-100;43;160
WING20;03/01/2020;03/01/2020 13:21;03/01/2020 13:44;23min47s;1;V;118.405,00;118.320,00;-17;-85;26;75
WING20;03/01/2020;03/01/2020 13:53;03/01/2020 13:59;6min;1;V;118.350,00;118.390,00;8;40;34;115
WING20;03/01/2020;03/01/2020 14:23;03/01/2020 14:28;5min43s;1;C;118.640,00;118.695,00;11;55;45;170
WING20;03/01/2020;03/01/2020 14:55;03/01/2020 14:59;3min45s;1;C;118.835,00;118.890,00;11;55;56;225
WING20;03/01/2020;03/01/2020 15:05;03/01/2020 15:07;2min6s;1;C;118.860,00;118.920,00;12;60;68;285
WING20;06/01/2020;06/01/2020 09:44;06/01/2020 09:49;5min14s;1;V;117.455,00;117.475,00;4;20;72;20
WING20;06/01/2020;06/01/2020 09:51;06/01/2020 10:02;11min11s;1;V;117.540,00;117.500,00;-8;-40;64;-20
WING20;06/01/2020;06/01/2020 10:23;06/01/2020 10:31;8min;1;V;117.250,00;117.235,00;-3;-15;61;-35
WING20;06/01/2020;06/01/2020 10:44;06/01/2020 10:48;4min44s;1;V;117.145,00;117.190,00;9;45;70;10
WING20;06/01/2020;06/01/2020 10:51;06/01/2020 11:14;22min53s;1;V;117.330,00;117.215,00;-23;-115;47;-105
WING20;06/01/2020;06/01/2020 11:15;06/01/2020 11:32;16min20s;1;C;117.290,00;117.120,00;-34;-170;13;-275
WING20;06/01/2020;06/01/2020 11:46;06/01/2020 11:54;8min30s;1;V;117.045,00;117.060,00;3;15;16;-260
WING20;06/01/2020;06/01/2020 12:05;06/01/2020 12:32;26min7s;1;V;117.340,00;117.015,00;-65;-325;-49;-585
WING20;06/01/2020;06/01/2020 12:34;06/01/2020 12:38;4min2s;1;C;117.285,00;117.385,00;20;100;-29;-485
WING20;06/01/2020;06/01/2020 12:57;06/01/2020 12:59;1min37s;1;C;117.575,00;117.695,00;24;120;-5;-365
WING20;06/01/2020;06/01/2020 13:07;06/01/2020 13:08;1min3s;1;C;117.680,00;117.760,00;16;80;11;-285
WING20;06/01/2020;06/01/2020 13:14;06/01/2020 13:20;6min35s;1;C;117.715,00;117.735,00;4;20;15;-265
WING20;06/01/2020;06/01/2020 13:36;06/01/2020 13:42;6min;1;C;117.735,00;117.775,00;8;40;23;-225
WING20;06/01/2020;06/01/2020 14:01;06/01/2020 14:03;2min7s;1;C;117.755,00;117.800,00;9;45;32;-180
WING20;06/01/2020;06/01/2020 14:31;06/01/2020 14:34;2min58s;1;C;118.080,00;118.110,00;6;30;38;-150
WING20;06/01/2020;06/01/2020 14:35;06/01/2020 14:36;1min21s;1;V;118.075,00;118.150,00;15;75;53;-75
WING20;06/01/2020;06/01/2020 14:49;06/01/2020 14:52;2min32s;1;V;117.995,00;118.060,00;13;65;66;-10
WING20;06/01/2020;06/01/2020 14:59;06/01/2020 15:07;8min;1;V;118.060,00;118.050,00;-2;-10;64;-20
WING20;06/01/2020;06/01/2020 15:31;06/01/2020 15:42;11min26s;1;V;117.870,00;117.910,00;8;40;72;20
WING20;07/01/2020;07/01/2020 09:27;07/01/2020 10:09;41min54s;1;C;117.745,00;117.450,00;-59;-295;13;-295
WING20;07/01/2020;07/01/2020 10:10;07/01/2020 10:49;38min28s;1;C;117.380,00;116.695,00;-137;-685;-124;-980
WING20;07/01/2020;07/01/2020 11:04;07/01/2020 11:11;6min20s;1;V;116.590,00;116.615,00;5;25;-119;-955
WING20;07/01/2020;07/01/2020 11:13;07/01/2020 11:24;10min43s;1;V;116.610,00;116.695,00;17;85;-102;-870
WING20;07/01/2020;07/01/2020 11:29;07/01/2020 11:37;8min17s;1;V;116.695,00;116.685,00;-2;-10;-104;-880
WING20;07/01/2020;07/01/2020 11:56;07/01/2020 12:15;18min55s;1;V;116.740,00;116.625,00;-23;-115;-127;-995
WING20;07/01/2020;07/01/2020 12:18;07/01/2020 12:23;5min4s;1;C;116.745,00;116.770,00;5;25;-122;-970
WING20;07/01/2020;07/01/2020 12:24;07/01/2020 12:29;4min41s;1;C;116.710,00;116.770,00;12;60;-110;-910
WING20;07/01/2020;07/01/2020 12:32;07/01/2020 12:50;18min51s;1;C;116.735,00;116.620,00;-23;-115;-133;-1025
WING20;07/01/2020;07/01/2020 12:54;07/01/2020 13:09;14min46s;1;V;116.680,00;116.655,00;-5;-25;-138;-1050
WING20;07/01/2020;07/01/2020 13:12;07/01/2020 13:19;6min41s;1;C;116.670,00;116.715,00;9;45;-129;-1005
WING20;07/01/2020;07/01/2020 13:32;07/01/2020 13:37;4min35s;1;C;116.750,00;116.785,00;7;35;-122;-970
WING20;07/01/2020;07/01/2020 13:42;07/01/2020 13:48;5min21s;1;C;116.745,00;116.785,00;8;40;-114;-930
WING20;07/01/2020;07/01/2020 13:55;07/01/2020 14:01;6min6s;1;C;116.715,00;116.725,00;2;10;-112;-920
WING20;07/01/2020;07/01/2020 14:11;07/01/2020 14:13;1min31s;1;C;116.685,00;116.755,00;14;70;-98;-850
WING20;07/01/2020;07/01/2020 14:30;07/01/2020 14:45;14min34s;1;C;116.790,00;116.790,00;0;0;-98;-850
WING20;07/01/2020;07/01/2020 14:45;07/01/2020 15:26;40min49s;1;V;117.145,00;116.820,00;-65;-325;-163;-1175
WING20;08/01/2020;08/01/2020 09:05;08/01/2020 09:13;8min4s;1;C;117.130,00;117.220,00;18;90;-145;90
WING20;08/01/2020;08/01/2020 09:29;08/01/2020 09:29;26s;1;C;117.235,00;117.365,00;26;130;-119;220
WING20;08/01/2020;08/01/2020 09:54;08/01/2020 09:55;39s;1;C;117.595,00;117.685,00;18;90;-101;310
WING20;08/01/2020;08/01/2020 09:59;08/01/2020 10:11;12min1s;1;C;117.600,00;117.620,00;4;20;-97;330
WING20;08/01/2020;08/01/2020 10:20;08/01/2020 10:30;10min;1;C;117.635,00;117.660,00;5;25;-92;355
WING20;08/01/2020;08/01/2020 10:38;08/01/2020 10:56;17min15s;1;C;117.675,00;116.970,00;-141;-705;-233;-350
WING20;08/01/2020;08/01/2020 11:31;08/01/2020 11:36;4min53s;1;V;116.650,00;116.695,00;9;45;-224;-305
WING20;08/01/2020;08/01/2020 11:44;08/01/2020 11:46;2min9s;1;V;116.560,00;116.635,00;15;75;-209;-230
WING20;08/01/2020;08/01/2020 11:49;08/01/2020 12:19;29min49s;1;V;116.810,00;116.650,00;-32;-160;-241;-390
WING20;08/01/2020;08/01/2020 12:21;08/01/2020 12:39;18min2s;1;C;116.785,00;116.095,00;-138;-690;-379;-1080
WING20;08/01/2020;08/01/2020 12:57;08/01/2020 13:00;3min10s;1;V;116.260,00;116.330,00;14;70;-365;-1010
WING20;08/01/2020;08/01/2020 13:05;08/01/2020 13:28;22min42s;1;V;116.405,00;116.320,00;-17;-85;-382;-1095
WING20;08/01/2020;08/01/2020 14:13;08/01/2020 14:15;2min7s;1;C;117.115,00;117.195,00;16;80;-366;-1015
WING20;08/01/2020;08/01/2020 14:20;08/01/2020 14:22;2min46s;1;C;117.135,00;117.220,00;17;85;-349;-930
WING20;08/01/2020;08/01/2020 14:41;08/01/2020 14:57;15min51s;1;C;117.220,00;117.135,00;-17;-85;-366;-1015
WING20;08/01/2020;08/01/2020 15:02;08/01/2020 15:10;8min46s;1;V;117.115,00;117.135,00;4;20;-362;-995
WING20;08/01/2020;08/01/2020 15:11;08/01/2020 15:13;1min44s;1;C;117.090,00;117.135,00;9;45;-353;-950
WING20;08/01/2020;08/01/2020 15:14;08/01/2020 15:14;28s;1;V;117.150,00;117.170,00;4;20;-349;-930
WING20;09/01/2020;09/01/2020 09:25;09/01/2020 09:53;28min23s;1;C;116.955,00;116.660,00;-59;-295;-408;-295
WING20;09/01/2020;09/01/2020 09:55;09/01/2020 09:59;3min40s;1;C;116.565,00;116.775,00;42;210;-366;-85
WING20;09/01/2020;09/01/2020 10:00;09/01/2020 10:03;3min31s;1;C;116.625,00;116.705,00;16;80;-350;-5
WING20;09/01/2020;09/01/2020 10:07;09/01/2020 10:12;4min24s;1;C;116.655,00;116.725,00;14;70;-336;65
WING20;09/01/2020;09/01/2020 10:22;09/01/2020 10:24;1min58s;1;C;116.650,00;116.780,00;26;130;-310;195
WING20;09/01/2020;09/01/2020 10:52;09/01/2020 11:20;28min53s;1;C;117.075,00;116.685,00;-78;-390;-388;-195
WING20;09/01/2020;09/01/2020 11:21;09/01/2020 11:22;1min22s;1;V;116.595,00;116.715,00;24;120;-364;-75
WING20;09/01/2020;09/01/2020 11:30;09/01/2020 11:31;58s;1;V;116.540,00;116.680,00;28;140;-336;65
WING20;09/01/2020;09/01/2020 11:48;09/01/2020 11:59;10min32s;1;V;116.455,00;116.475,00;4;20;-332;85
WING20;09/01/2020;09/01/2020 12:01;09/01/2020 12:10;9min22s;1;C;116.410,00;116.460,00;10;50;-322;135
WING20;09/01/2020;09/01/2020 12:15;09/01/2020 12:21;5min28s;1;C;116.405,00;116.460,00;11;55;-311;190
WING20;09/01/2020;09/01/2020 12:23;09/01/2020 12:38;15min9s;1;C;116.380,00;116.375,00;-1;-5;-312;185
WING20;09/01/2020;09/01/2020 13:10;09/01/2020 13:22;11min37s;1;C;116.635,00;116.635,00;0;0;-312;185
WING20;09/01/2020;09/01/2020 13:27;09/01/2020 13:30;3min28s;1;C;116.550,00;116.620,00;14;70;-298;255
WING20;09/01/2020;09/01/2020 13:41;09/01/2020 13:49;7min58s;1;C;116.630,00;116.660,00;6;30;-292;285
WING20;09/01/2020;09/01/2020 13:56;09/01/2020 14:10;13min51s;1;C;116.630,00;116.650,00;4;20;-288;305
WING20;09/01/2020;09/01/2020 14:49;09/01/2020 14:53;3min14s;1;V;116.130,00;116.195,00;13;65;-275;370
WING20;09/01/2020;09/01/2020 14:55;09/01/2020 14:56;1min8s;1;V;116.115,00;116.220,00;21;105;-254;475
WING20;09/01/2020;09/01/2020 15:04;09/01/2020 15:09;4min27s;1;V;116.095,00;116.175,00;16;80;-238;555
WING20;09/01/2020;09/01/2020 15:31;09/01/2020 15:33;2min10s;1;V;115.910,00;115.980,00;14;70;-224;625
WING20;10/01/2020;10/01/2020 09:17;10/01/2020 09:20;3min2s;1;C;116.610,00;116.670,00;12;60;-212;60
WING20;10/01/2020;10/01/2020 09:26;10/01/2020 09:30;4min;1;C;116.625,00;116.690,00;13;65;-199;125
WING20;10/01/2020;10/01/2020 09:41;10/01/2020 09:48;7min40s;1;C;116.690,00;116.700,00;2;10;-197;135
WING20;10/01/2020;10/01/2020 10:59;10/01/2020 11:01;2min14s;1;C;117.035,00;117.110,00;15;75;-182;210
WING20;10/01/2020;10/01/2020 11:09;10/01/2020 11:15;5min47s;1;C;117.070,00;117.095,00;5;25;-177;235
WING20;10/01/2020;10/01/2020 11:19;10/01/2020 11:43;23min38s;1;C;117.065,00;116.900,00;-33;-165;-210;70
WING20;10/01/2020;10/01/2020 11:49;10/01/2020 11:54;4min42s;1;V;116.825,00;116.900,00;15;75;-195;145
WING20;10/01/2020;10/01/2020 11:58;10/01/2020 12:13;15min34s;1;V;116.955,00;116.905,00;-10;-50;-205;95
WING20;10/01/2020;10/01/2020 12:31;10/01/2020 12:40;9min20s;1;C;117.060,00;117.080,00;4;20;-201;115
WING20;10/01/2020;10/01/2020 12:44;10/01/2020 12:59;14min36s;1;C;117.050,00;117.045,00;-1;-5;-202;110
WING20;10/01/2020;10/01/2020 13:06;10/01/2020 13:12;5min36s;1;V;117.000,00;117.025,00;5;25;-197;135
WING20;10/01/2020;10/01/2020 13:54;10/01/2020 14:00;5min6s;1;V;116.645,00;116.685,00;8;40;-189;175
WING20;10/01/2020;10/01/2020 14:05;10/01/2020 14:06;1min8s;1;V;116.610,00;116.665,00;11;55;-178;230
WING20;10/01/2020;10/01/2020 14:20;10/01/2020 14:20;44s;1;V;116.550,00;116.610,00;12;60;-166;290
WING20;10/01/2020;10/01/2020 14:25;10/01/2020 14:33;7min36s;1;V;116.610,00;116.590,00;-4;-20;-170;270
WING20;10/01/2020;10/01/2020 14:37;10/01/2020 14:39;2min3s;1;C;116.590,00;116.635,00;9;45;-161;315
WING20;10/01/2020;10/01/2020 15:05;10/01/2020 15:07;1min37s;1;V;116.495,00;116.535,00;8;40;-153;355
WING20;10/01/2020;10/01/2020 15:15;10/01/2020 15:35;19min23s;1;V;116.655,00;116.525,00;-26;-130;-179;225
WING20;13/01/2020;13/01/2020 09:18;13/01/2020 09:26;8min15s;1;C;116.230,00;116.260,00;6;30;-173;30
WING20;13/01/2020;13/01/2020 09:45;13/01/2020 09:45;17s;1;C;116.350,00;116.410,00;12;60;-161;90
WING20;13/01/2020;13/01/2020 09:48;13/01/2020 09:55;6min13s;1;C;116.365,00;116.365,00;0;0;-161;90
WING20;13/01/2020;13/01/2020 10:00;13/01/2020 10:16;16min5s;1;V;116.440,00;116.410,00;-6;-30;-167;60
WING20;13/01/2020;13/01/2020 10:42;13/01/2020 10:46;3min47s;1;C;116.690,00;116.750,00;12;60;-155;120
WING20;13/01/2020;13/01/2020 10:48;13/01/2020 10:49;57s;1;C;116.670,00;116.750,00;16;80;-139;200
WING20;13/01/2020;13/01/2020 10:54;13/01/2020 10:56;2min27s;1;C;116.685,00;116.785,00;20;100;-119;300
WING20;13/01/2020;13/01/2020 10:57;13/01/2020 11:06;9min19s;1;C;116.700,00;116.755,00;11;55;-108;355
WING20;13/01/2020;13/01/2020 11:09;13/01/2020 11:10;1min;1;V;116.700,00;116.760,00;12;60;-96;415
WING20;13/01/2020;13/01/2020 11:20;13/01/2020 11:30;9min46s;1;C;116.760,00;116.705,00;-11;-55;-107;360
WING20;13/01/2020;13/01/2020 12:19;13/01/2020 12:21;1min12s;1;C;117.160,00;117.210,00;10;50;-97;410
WING20;13/01/2020;13/01/2020 12:32;13/01/2020 12:40;7min32s;1;C;117.265,00;117.310,00;9;45;-88;455
WING20;13/01/2020;13/01/2020 12:42;13/01/2020 12:48;6min48s;1;C;117.255,00;117.285,00;6;30;-82;485
WING20;13/01/2020;13/01/2020 12:49;13/01/2020 12:53;3min57s;1;V;117.265,00;117.310,00;9;45;-73;530
WING20;13/01/2020;13/01/2020 13:00;13/01/2020 13:01;1min20s;1;C;117.265,00;117.315,00;10;50;-63;580
WING20;13/01/2020;13/01/2020 13:25;13/01/2020 13:28;3min10s;1;C;117.440,00;117.555,00;23;115;-40;695
WING20;13/01/2020;13/01/2020 13:34;13/01/2020 13:46;12min1s;1;C;117.465,00;117.495,00;6;30;-34;725
WING20;13/01/2020;13/01/2020 13:52;13/01/2020 13:58;5min27s;1;C;117.480,00;117.505,00;5;25;-29;750
WING20;13/01/2020;13/01/2020 14:03;13/01/2020 14:10;6min35s;1;C;117.485,00;117.510,00;5;25;-24;775
WING20;14/01/2020;14/01/2020 09:29;14/01/2020 09:33;3min31s;1;V;117.460,00;117.505,00;9;45;-15;45
WING20;14/01/2020;14/01/2020 09:35;14/01/2020 09:39;3min43s;1;V;117.470,00;117.510,00;8;40;-7;85
WING20;14/01/2020;14/01/2020 10:12;14/01/2020 10:28;15min47s;1;V;117.390,00;117.340,00;-10;-50;-17;35
WING20;14/01/2020;14/01/2020 10:29;14/01/2020 10:30;53s;1;C;117.365,00;117.450,00;17;85;0;120
WING20;14/01/2020;14/01/2020 11:08;14/01/2020 11:18;10min13s;1;C;117.940,00;117.960,00;4;20;4;140
WING20;14/01/2020;14/01/2020 11:20;14/01/2020 12:05;45min44s;1;C;117.900,00;117.460,00;-88;-440;-84;-300
WING20;14/01/2020;14/01/2020 12:06;14/01/2020 12:09;3min4s;1;V;117.400,00;117.470,00;14;70;-70;-230
WING20;14/01/2020;14/01/2020 12:11;14/01/2020 12:13;2min8s;1;V;117.415,00;117.475,00;12;60;-58;-170
WING20;14/01/2020;14/01/2020 12:15;14/01/2020 12:29;13min29s;1;C;117.410,00;117.430,00;4;20;-54;-150
WING20;14/01/2020;14/01/2020 12:49;14/01/2020 12:56;7min27s;1;C;117.550,00;117.570,00;4;20;-50;-130
WING20;14/01/2020;14/01/2020 13:23;14/01/2020 13:24;1min19s;1;V;117.560,00;117.595,00;7;35;-43;-95
WING20;14/01/2020;14/01/2020 13:45;14/01/2020 14:04;19min33s;1;V;117.520,00;117.455,00;-13;-65;-56;-160
WING20;14/01/2020;14/01/2020 14:14;14/01/2020 14:16;1min27s;1;V;117.470,00;117.510,00;8;40;-48;-120
WING20;14/01/2020;14/01/2020 14:29;14/01/2020 14:44;14min55s;1;V;117.550,00;117.465,00;-17;-85;-65;-205
WING20;14/01/2020;14/01/2020 14:52;14/01/2020 14:55;2min44s;1;V;117.515,00;117.565,00;10;50;-55;-155
WING20;14/01/2020;14/01/2020 15:02;14/01/2020 15:30;28min6s;1;V;117.630,00;117.530,00;-20;-100;-75;-255
WING20;15/01/2020;15/01/2020 09:35;15/01/2020 09:37;2min39s;1;V;117.440,00;117.480,00;8;40;-67;40
WING20;15/01/2020;15/01/2020 09:48;15/01/2020 10:00;12min33s;1;V;117.435,00;117.450,00;3;15;-64;55
WING20;15/01/2020;15/01/2020 10:02;15/01/2020 10:06;3min46s;1;V;117.490,00;117.495,00;1;5;-63;60
WING20;15/01/2020;15/01/2020 10:29;15/01/2020 10:33;4min2s;1;V;117.205,00;117.230,00;5;25;-58;85
WING20;15/01/2020;15/01/2020 10:35;15/01/2020 10:39;4min;1;V;117.225,00;117.295,00;14;70;-44;155
WING20;15/01/2020;15/01/2020 10:49;15/01/2020 10:55;5min39s;1;C;117.205,00;117.270,00;13;65;-31;220
WING20;15/01/2020;15/01/2020 11:10;15/01/2020 11:12;2min3s;1;C;117.310,00;117.370,00;12;60;-19;280
WING20;15/01/2020;15/01/2020 11:15;15/01/2020 11:18;2min30s;1;C;117.310,00;117.375,00;13;65;-6;345
WING20;15/01/2020;15/01/2020 11:30;15/01/2020 11:33;3min14s;1;C;117.315,00;117.390,00;15;75;9;420
WING20;15/01/2020;15/01/2020 11:34;15/01/2020 11:40;6min7s;1;C;117.280,00;117.360,00;16;80;25;500
WING20;15/01/2020;15/01/2020 11:42;15/01/2020 11:59;17min20s;1;C;117.265,00;117.215,00;-10;-50;15;450
WING20;15/01/2020;15/01/2020 12:09;15/01/2020 12:11;1min38s;1;V;117.095,00;117.165,00;14;70;29;520
WING20;15/01/2020;15/01/2020 12:34;15/01/2020 12:42;7min24s;1;V;116.865,00;116.915,00;10;50;39;570
WING20;15/01/2020;15/01/2020 12:55;15/01/2020 12:56;1min26s;1;V;116.820,00;116.870,00;10;50;49;620
WING20;15/01/2020;15/01/2020 13:04;15/01/2020 13:07;2min49s;1;V;116.780,00;116.835,00;11;55;60;675
WING20;15/01/2020;15/01/2020 13:22;15/01/2020 13:36;13min46s;1;V;116.840,00;116.730,00;-22;-110;38;565
WING20;15/01/2020;15/01/2020 13:43;15/01/2020 13:55;12min6s;1;C;116.820,00;116.775,00;-9;-45;29;520
WING20;15/01/2020;15/01/2020 14:19;15/01/2020 14:24;5min4s;1;C;116.960,00;117.005,00;9;45;38;565
WING20;16/01/2020;16/01/2020 09:31;16/01/2020 09:40;9min6s;1;C;117.325,00;117.335,00;2;10;40;10
WING20;16/01/2020;16/01/2020 09:50;16/01/2020 09:53;2min56s;1;C;117.285,00;117.305,00;4;20;44;30
WING20;16/01/2020;16/01/2020 09:54;16/01/2020 09:59;5min31s;1;C;117.285,00;117.320,00;7;35;51;65
WING20;16/01/2020;16/01/2020 10:10;16/01/2020 10:19;8min13s;1;C;117.385,00;117.370,00;-3;-15;48;50
WING20;16/01/2020;16/01/2020 10:23;16/01/2020 10:32;8min48s;1;C;117.325,00;117.365,00;8;40;56;90
WING20;16/01/2020;16/01/2020 10:35;16/01/2020 10:58;22min16s;1;C;117.310,00;117.100,00;-42;-210;14;-120
WING20;16/01/2020;16/01/2020 11:29;16/01/2020 11:41;11min50s;1;C;117.245,00;117.225,00;-4;-20;10;-140
WING20;16/01/2020;16/01/2020 11:47;16/01/2020 11:54;7min30s;1;C;117.195,00;117.235,00;8;40;18;-100
WING20;16/01/2020;16/01/2020 12:10;16/01/2020 12:34;24min50s;1;C;117.345,00;117.245,00;-20;-100;-2;-200
WING20;16/01/2020;16/01/2020 12:43;16/01/2020 12:54;10min45s;1;C;117.250,00;117.200,00;-10;-50;-12;-250
WING20;16/01/2020;16/01/2020 12:56;16/01/2020 13:02;5min29s;1;V;117.215,00;117.240,00;5;25;-7;-225
WING20;16/01/2020;16/01/2020 13:06;16/01/2020 13:09;2min22s;1;V;117.205,00;117.260,00;11;55;4;-170
WING20;16/01/2020;16/01/2020 13:20;16/01/2020 13:27;6min40s;1;C;117.220,00;117.250,00;6;30;10;-140
WING20;16/01/2020;16/01/2020 13:28;16/01/2020 13:33;4min31s;1;V;117.225,00;117.265,00;8;40;18;-100
WING20;16/01/2020;16/01/2020 13:36;16/01/2020 13:42;6min2s;1;V;117.235,00;117.250,00;3;15;21;-85
WING20;16/01/2020;16/01/2020 13:46;16/01/2020 13:53;7min7s;1;C;117.230,00;117.240,00;2;10;23;-75
WING20;16/01/2020;16/01/2020 14:13;16/01/2020 14:32;18min39s;1;C;117.355,00;117.345,00;-2;-10;21;-85
WING20;16/01/2020;16/01/2020 14:35;16/01/2020 14:37;1min35s;1;C;117.330,00;117.380,00;10;50;31;-35
WING20;16/01/2020;16/01/2020 14:51;16/01/2020 15:16;25min10s;1;C;117.375,00;116.675,00;-140;-700;-109;-735
WING20;17/01/2020;17/01/2020 09:22;17/01/2020 09:34;11min55s;1;C;117.305,00;117.310,00;1;5;-108;5
